AppID,Name,Game price (ARS),Discount,Cheapest card price (USD),Cheapest card price (ARS),Number of cards in total,Obtainable cards,Steam commission (ARS),Value of the cards obtainable without the steam commission (ARS),Approximate minimum profit (counting commission and value of the game) (ARS),Price multiplied by number of accounts (ARS),Date of purchase,Offer type,New highest discount?,Days since the offer started,Days for the offer to end,Steamcardexchange link,Steam store link
450860,Andarilho,6.99,-50%,,,,,,,,,,X,Product is priced on par with lowest recorded price,11 days ago,3 days,https://www.steamcardexchange.net/index.php?gamepage-appid-450860,https://store.steampowered.com/app/450860
562730,MechDefender,6.99,-50%,,,,,,,,,,X,Product is priced on par with lowest recorded price,2 days ago,12 days,https://www.steamcardexchange.net/index.php?gamepage-appid-562730,https://store.steampowered.com/app/562730
448780,Sixtieth Kilometer,6.99,-50%,,,,,,,,,,X,Product is priced on par with lowest recorded price,11 days ago,3 days,https://www.steamcardexchange.net/index.php?gamepage-appid-448780,https://store.steampowered.com/app/448780
581030,The Last Hope: Trump vs Mafia - North Korea,6.99,-50%,,,,,,,,,,X,Product is priced on par with lowest recorded price,2 days ago,12 days,https://www.steamcardexchange.net/index.php?gamepage-appid-581030,https://store.steampowered.com/app/581030
34900,Bad Rats: the Rats' Revenge,6.99,-60%,,,,,,,,,,X,Product is priced on par with lowest recorded price,7 days ago,7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-34900,https://store.steampowered.com/app/34900
410670,Suits: A Business RPG,6.99,-50%,,,,,,,,,,X,Product is priced on par with lowest recorded price,7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-410670,https://store.steampowered.com/app/410670
562360,"Planes, Bullets and Vodka",6.99,-50%,,,,,,,,,,X,Product is priced on par with lowest recorded price,7 days ago,7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-562360,https://store.steampowered.com/app/562360
391140,Blast-off,6.99,-50%,,,,,,,,,,Weeklong Deals,Product is priced on par with lowest recorded price,7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-391140,https://store.steampowered.com/app/391140
485730,Shift,6.99,-50%,,,,,,,,,,X,Product is priced on par with lowest recorded price,3 days ago,11 days,https://www.steamcardexchange.net/index.php?gamepage-appid-485730,https://store.steampowered.com/app/485730
601010,Hotel Anatolia,6.99,-50%,,,,,,,,,,Weeklong Deals,Product is priced on par with lowest recorded price,7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-601010,https://store.steampowered.com/app/601010
