AppID,Name,Game price (ARS),Discount,Cheapest card price (USD),Cheapest card price (ARS),Number of cards in total,Obtainable cards,Steam commission (ARS),Value of the cards obtainable without the steam commission (ARS),Approximate minimum profit (counting commission and value of the game) (ARS),Price multiplied by number of accounts (ARS),Date of purchase,Offer type,New highest discount?,Days since the offer started,Days for the offer to end,Steamcardexchange link,Steam store link,SI
1097420,No-brainer Heroes 挂机吧！勇者,155.99,-40%,0.04,2.2,8,4,1.32,8.8,-148.51,-1633.61,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-1097420,https://store.steampowered.com/app/1097420/Nobrainer_Heroes/,]
285110,GearCity,157.49,-30%,0.04,2.2,12,6,1.98,13.2,-146.27,-1608.97,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-285110,https://store.steampowered.com/app/285110/GearCity/,]
485510,Nioh: Complete Edition / 仁王 Complete Edition,161.99,-70%,0.04,2.2,15,8,2.64,17.6,-147.03,-1617.33,,X,Product is priced on par with lowest recorded price,5 days ago,in 4 days,https://www.steamcardexchange.net/index.php?gamepage-appid-485510,https://store.steampowered.com/app/485510/Nioh_Complete_Edition___Complete_Edition/,]
571260,THE KING OF FIGHTERS XIV STEAM EDITION,162.49,-75%,0.04,2.2,15,8,2.64,17.6,-147.53,-1622.83,,The Steam Fighting Game Sale,new highest discount,5 days ago,tomorrow,https://www.steamcardexchange.net/index.php?gamepage-appid-571260,https://store.steampowered.com/app/571260/THE_KING_OF_FIGHTERS_XIV_STEAM_EDITION/,]
922500,KILL la KILL -IF,162.49,-75%,0.06,3.3,8,4,1.98,13.2,-151.27,-1663.97,,The Steam Fighting Game Sale,new highest discount,3 days ago,tomorrow,https://www.steamcardexchange.net/index.php?gamepage-appid-922500,https://store.steampowered.com/app/922500/KILL_la_KILL_IF/,]
702890,BlazBlue: Cross Tag Battle,164.99,-50%,0.1,5.5,8,4,3.3,22.0,-146.29,-1609.18,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-702890,https://store.steampowered.com/app/702890/BlazBlue_Cross_Tag_Battle/,]
970560,STEINS;GATE: My Darling's Embrace,164.99,-50%,0.11,6.05,8,4,3.63,24.2,-144.42,-1588.62,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-970560,https://store.steampowered.com/app/970560/STEINSGATE_My_Darlings_Embrace/,]
1062340,KATANA KAMI: A Way of the Samurai Story,164.99,-50%,0.06,3.3,8,4,1.98,13.2,-153.77,-1691.47,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-1062340,https://store.steampowered.com/app/1062340/KATANA_KAMI_A_Way_of_the_Samurai_Story/,]
383840,Nimbatus - The Space Drone Constructor,168.74,-25%,0.04,2.2,7,4,1.32,8.8,-161.26,-1773.86,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-383840,https://store.steampowered.com/app/383840/Nimbatus__The_Space_Drone_Constructor/,]
880220,~Azur Ring~virgin and slave's phylacteries,171.99,-20%,0.1,5.5,6,3,2.47,16.5,-157.96,-1737.56,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-880220,https://store.steampowered.com/app/880220/Azur_Ringvirginandslavesphylacteries/,]
