Appid,Name,Game price (ARS),Discount,Cheapest card price (USD),Cheapest card price (ARS),Number of cards in total,Obtainable cards,Steam commission (ARS),Value of the cards obtainable without the steam commission (ARS),Sales x 24 hours for the cheapest item,Approximate minimum profit (ARS),Price multiplied by number of accounts (ARS),Date of purchase,Offer type,New highest discount?,Days since the offer started,Days for the offer to end,Market direct link,Steamcardexchange link,Steam store link,SI
341310,Greyfox RPG,7.01,-74%,0.05,2.75,5,3,1.23,8.25,,0.0,0.0,,X,"lowest price is ARS$ 6,99 at -74%",17 hours ago,in 5 days,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_341310#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-341310,https://store.steampowered.com/app/341310/Greyfox_RPG/,]
496640,Strange Night,7.01,-87%,0.05,2.75,5,3,1.23,8.25,,0.0,0.0,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_496640#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-496640,https://store.steampowered.com/app/496640/Strange_Night/,]
357070,UBERMOSH,7.01,-46%,0.05,2.75,6,3,1.23,8.25,,0.0,0.0,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_357070#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-357070,https://store.steampowered.com/app/357070/UBERMOSH/,]
381870,Koala Kids,7.01,-74%,0.05,2.75,6,3,1.23,8.25,,0.0,0.0,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_381870#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-381870,https://store.steampowered.com/app/381870/Koala_Kids/,]
454100,Dungeon Escape,7.01,-87%,0.05,2.75,5,3,1.23,8.25,,0.0,0.0,,X,"lowest price is ARS$ 6,99 at -87%",17 hours ago,in 5 days,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_454100#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-454100,https://store.steampowered.com/app/454100/Dungeon_Escape/,]
273500,Over 9000 Zombies!,7.01,-74%,0.05,2.75,5,3,1.23,8.25,,0.0,0.0,,X,"lowest price is ARS$ 6,99 at -74%",17 hours ago,in 5 days,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_273500#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-273500,https://store.steampowered.com/app/273500/Over_9000_Zombies/,]
428900,"Linea, the Game",7.01,-74%,0.05,2.75,5,3,1.23,8.25,,0.0,0.0,,X,"lowest price is ARS$ 6,99 at -74%",17 hours ago,in 5 days,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_428900#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-428900,https://store.steampowered.com/app/428900/Linea_the_Game/,]
461640,Sins Of The Demon RPG,7.01,-74%,0.05,2.75,5,3,1.23,8.25,,0.0,0.0,,X,"lowest price is ARS$ 6,99 at -74%",17 hours ago,in 5 days,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_461640#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-461640,https://store.steampowered.com/app/461640/Sins_Of_The_Demon_RPG/,]
278570,Labyrinthine Dreams,7.01,-74%,0.05,2.75,5,3,1.23,8.25,,0.0,0.0,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_278570#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-278570,https://store.steampowered.com/app/278570/Labyrinthine_Dreams/,]
307230,"I, Zombie",7.01,-74%,0.05,2.75,6,3,1.23,8.25,,0.0,0.0,,X,"lowest price is ARS$ 6,99 at -74%",17 hours ago,in 5 days,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_307230#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-307230,https://store.steampowered.com/app/307230/I_Zombie/,]
