AppID,Name,Game price (ARS),Discount,Cheapest card price (USD),Cheapest card price (ARS),Number of cards in total,Obtainable cards,Steam commission (ARS),Value of the cards obtainable without the steam commission (ARS),Approximate minimum profit (counting commission and value of the game) (ARS),Price multiplied by number of accounts (ARS),Date of purchase,Offer type,New highest discount?,Days since the offer started,Days for the offer to end,Steamcardexchange link,Steam store link,SI
434570,Blood and Bacon,6.99,-50%,0.05,2.75,6.0,3.0,1.23,8.25,0.02,0.22,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-434570,https://store.steampowered.com/app/434570,]
1069740,Seen,6.99,-75%,0.06,3.3,5.0,3.0,1.48,9.89,1.42,15.62,,X,Product is priced on par with lowest recorded price,2 days ago,2 days,https://www.steamcardexchange.net/index.php?gamepage-appid-1069740,https://store.steampowered.com/app/1069740,]
1293230,House of Detention,6.99,-50%,0.06,3.3,10.0,5.0,2.47,16.5,7.03,77.33,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-1293230,https://store.steampowered.com/app/1293230,]
438480,Rock 'N' Roll Defense,6.99,-50%,0.05,2.75,5.0,3.0,1.23,8.25,0.02,0.22,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-438480,https://store.steampowered.com/app/438480,]
376730,Monument,6.99,-74%,0.04,2.2,6.0,3.0,0.99,6.6,-1.38,-15.18,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-376730,https://store.steampowered.com/app/376730,]
542350,Castle of no Escape 2,6.99,-90%,0.04,2.2,6.0,3.0,0.99,6.6,-1.38,-15.18,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-542350,https://store.steampowered.com/app/542350,]
1334590,Amor peludo,6.99,-50%,0.04,2.2,15.0,8.0,2.64,17.6,7.97,87.67,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-1334590,https://store.steampowered.com/app/1334590,]
618140,Barro,6.99,-50%,0.06,3.3,5.0,3.0,1.48,9.89,1.42,15.62,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-618140,https://store.steampowered.com/app/618140,]
1190110,H-SNIPER: Middle East,6.99,-50%,0.04,2.2,7.0,4.0,1.32,8.8,0.49,5.39,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-1190110,https://store.steampowered.com/app/1190110,]
485610,Ball 3D: Soccer Online,6.99,-50%,0.04,2.2,12.0,6.0,1.98,13.2,4.22,46.41,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-485610,https://store.steampowered.com/app/485610,]
1070330,Russian Life Simulator,6.99,-50%,0.04,2.2,15.0,8.0,2.64,17.6,7.97,87.67,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-1070330,https://store.steampowered.com/app/1070330,]
