AppID,Name,Game price (ARS),Discount,Cheapest card price (USD),Cheapest card price (ARS),Number of cards in total,Obtainable cards,Steam commission (ARS),Value of the cards obtainable without the steam commission (ARS),Approximate minimum profit (counting commission and value of the game) (ARS),Price multiplied by number of accounts (ARS),Date of purchase,Offer type,New highest discount?,Days since the offer started,Days for the offer to end,Steamcardexchange link,Steam store link,SI
495570,ConflictCraft,6.99,-50%,0.04,2.2,7,4,1.32,8.8,0.49,5.39,,X,Product is priced on par with lowest recorded price,7 days ago,in 7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-495570,https://store.steampowered.com/app/495570/ConflictCraft/,]
434570,Blood and Bacon,6.99,-50%,0.05,2.75,6,3,1.23,8.25,0.02,0.22,,Weeklong Deals,Product is priced on par with lowest recorded price,4 hours ago,in 7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-434570,https://store.steampowered.com/app/434570/Blood_and_Bacon/,]
1293230,House of Detention,6.99,-50%,0.05,2.75,10,5,2.06,13.75,4.69,51.59,,X,Product is priced on par with lowest recorded price,3 days ago,in 11 days,https://www.steamcardexchange.net/index.php?gamepage-appid-1293230,https://store.steampowered.com/app/1293230/House_of_Detention/,]
1069740,Seen,6.99,-75%,0.07,3.85,5,3,1.73,11.55,2.83,31.13,,X,Product is priced on par with lowest recorded price,6 days ago,in 9 days,https://www.steamcardexchange.net/index.php?gamepage-appid-1069740,https://store.steampowered.com/app/1069740/Seen/,]
1334590,Furry Love,6.99,-50%,0.05,2.75,15,8,3.3,22.0,11.71,128.81,,X,Product is priced on par with lowest recorded price,3 days ago,in 11 days,https://www.steamcardexchange.net/index.php?gamepage-appid-1334590,https://store.steampowered.com/app/1334590/Furry_Love/,]
485610,Ball 3D: Soccer Online,6.99,-50%,0.04,2.2,12,6,1.98,13.2,4.22,46.41,,X,Product is priced on par with lowest recorded price,7 days ago,in 7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-485610,https://store.steampowered.com/app/485610/Ball_3D_Soccer_Online/,]
1140440,OMON Simulator,6.99,-50%,0.04,2.2,15,8,2.64,17.6,7.97,87.67,,X,Product is priced on par with lowest recorded price,5 days ago,in 9 days,https://www.steamcardexchange.net/index.php?gamepage-appid-1140440,https://store.steampowered.com/app/1140440/OMON_Simulator/,]
438000,PIXELMAN,6.99,-86%,0.04,2.2,6,3,0.99,6.6,-1.38,-15.18,,X,Product is priced on par with lowest recorded price,5 days ago,in 9 days,https://www.steamcardexchange.net/index.php?gamepage-appid-438000,https://store.steampowered.com/app/438000/PIXELMAN/,]
597230,Shotgun Legend,6.99,-50%,0.08,4.4,5,3,1.98,13.2,4.22,46.41,,Weeklong Deals,Product is priced on par with lowest recorded price,4 hours ago,in 7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-597230,https://store.steampowered.com/app/597230/Shotgun_Legend/,]
575580,Queen of Seas,6.99,-50%,0.04,2.2,5,3,0.99,6.6,-1.38,-15.18,,X,Product is priced on par with lowest recorded price,10 days ago,in 7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-575580,https://store.steampowered.com/app/575580/Queen_of_Seas/,]
450850,Cube Land Arena,6.99,-50%,0.05,2.75,5,3,1.23,8.25,0.02,0.22,,X,Product is priced on par with lowest recorded price,11 days ago,in 7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-450850,https://store.steampowered.com/app/450850/Cube_Land_Arena/,]
873240,Hentai Memory,6.99,-50%,0.07,3.85,6,3,1.73,11.55,2.83,31.13,,Weeklong Deals,Product is priced on par with lowest recorded price,4 hours ago,in 7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-873240,https://store.steampowered.com/app/873240/Hentai_Memory/,]
967250,DOKA 2 KISHKI EDITION,6.99,-50%,0.06,3.3,5,3,1.48,9.89,1.42,15.62,,X,Product is priced on par with lowest recorded price,6 days ago,in 8 days,https://www.steamcardexchange.net/index.php?gamepage-appid-967250,https://store.steampowered.com/app/967250/DOKA_2_KISHKI_EDITION/,]
536340,Endless Room,6.99,-74%,0.04,2.2,5,3,0.99,6.6,-1.38,-15.18,,X,new highest discount,4 hours ago,in 8 days,https://www.steamcardexchange.net/index.php?gamepage-appid-536340,https://store.steampowered.com/app/536340/Endless_Room/,]
805940,RUSSIA BATTLEGROUNDS,6.99,-50%,0.06,3.3,5,3,1.48,9.89,1.42,15.62,,X,Product is priced on par with lowest recorded price,6 days ago,in 8 days,https://www.steamcardexchange.net/index.php?gamepage-appid-805940,https://store.steampowered.com/app/805940/RUSSIA_BATTLEGROUNDS/,]
550810,Abduction Bit,6.99,-50%,0.05,2.75,5,3,1.23,8.25,0.02,0.22,,Weeklong Deals,Product is priced on par with lowest recorded price,4 hours ago,in 7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-550810,https://store.steampowered.com/app/550810/Abduction_Bit/,]
498660,Mind Spheres,6.99,-50%,0.05,2.75,5,3,1.23,8.25,0.02,0.22,,X,Product is priced on par with lowest recorded price,5 days ago,in 9 days,https://www.steamcardexchange.net/index.php?gamepage-appid-498660,https://store.steampowered.com/app/498660/Mind_Spheres/,]
440760,Cube Destroyer,6.99,-50%,0.06,3.3,5,3,1.48,9.89,1.42,15.62,,Weeklong Deals,Product is priced on par with lowest recorded price,4 hours ago,in 7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-440760,https://store.steampowered.com/app/440760/Cube_Destroyer/,]
487700,Conan the mighty pig,6.99,-50%,0.05,2.75,5,3,1.23,8.25,0.02,0.22,,X,Product is priced on par with lowest recorded price,5 days ago,in 9 days,https://www.steamcardexchange.net/index.php?gamepage-appid-487700,https://store.steampowered.com/app/487700/Conan_the_mighty_pig/,]
545690,VOI,6.99,-50%,0.06,3.3,5,3,1.48,9.89,1.42,15.62,,X,Product is priced on par with lowest recorded price,8 days ago,in 7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-545690,https://store.steampowered.com/app/545690/VOI/,]
418040,hocus,6.99,-50%,0.04,2.2,8,4,1.32,8.8,0.49,5.39,,X,Product is priced on par with lowest recorded price,8 days ago,in 7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-418040,https://store.steampowered.com/app/418040/hocus/,]
263980,Out There Somewhere,6.99,-50%,0.05,2.75,5,3,1.23,8.25,0.02,0.22,,X,Product is priced on par with lowest recorded price,2 days ago,in 12 days,https://www.steamcardexchange.net/index.php?gamepage-appid-263980,https://store.steampowered.com/app/263980/Out_There_Somewhere/,]
630060,Consummate:Missing World 寇莎梅特：困世迷情,6.99,-50%,0.06,3.3,5,3,1.48,9.89,1.42,15.62,,X,Product is priced on par with lowest recorded price,4 hours ago,in 14 days,https://www.steamcardexchange.net/index.php?gamepage-appid-630060,https://store.steampowered.com/app/630060/ConsummateMissing_World/,]
508840,Broken Armor,6.99,-50%,0.1,5.5,5,3,2.47,16.5,7.03,77.33,,Weeklong Deals,Product is priced on par with lowest recorded price,4 hours ago,in 7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-508840,https://store.steampowered.com/app/508840/Broken_Armor/,]
